id;instituicao;nome_categoria;categoria_instituicao
302;Guarda Municipal de Apodi;Guarda Municipal;5
303;Guarda Municipal de Aporá;Guarda Municipal;5
304;Guarda Municipal de Aporé;Guarda Municipal;5
305;Guarda Municipal de Apuarema;Guarda Municipal;5
306;Guarda Municipal de Apucarana;Guarda Municipal;5
307;Guarda Municipal de Apuiarés;Guarda Municipal;5
308;Guarda Municipal de Apuí;Guarda Municipal;5
309;Guarda Municipal de Aquidabã;Guarda Municipal;5
310;Guarda Municipal de Aquidauana;Guarda Municipal;5
311;Guarda Municipal de Aquiraz;Guarda Municipal;5
312;Guarda Municipal de Arabutã;Guarda Municipal;5
313;Guarda Municipal de Aracaju;Guarda Municipal;5
314;Guarda Municipal de Aracati;Guarda Municipal;5
315;Guarda Municipal de Aracatu;Guarda Municipal;5
316;Guarda Municipal de Araci;Guarda Municipal;5
317;Guarda Municipal de Aracitaba;Guarda Municipal;5
318;Guarda Municipal de Aracoiaba;Guarda Municipal;5
319;Guarda Municipal de Aracruz;Guarda Municipal;5
320;Guarda Municipal de Aragarças;Guarda Municipal;5
321;Guarda Municipal de Aragoiânia;Guarda Municipal;5
322;Guarda Municipal de Aragominas;Guarda Municipal;5
323;Guarda Municipal de Araguacema;Guarda Municipal;5
324;Guarda Municipal de Araguaiana;Guarda Municipal;5
325;Guarda Municipal de Araguainha;Guarda Municipal;5
326;Guarda Municipal de Araguanã;Guarda Municipal;5
327;Guarda Municipal de Araguanã;Guarda Municipal;5
328;Guarda Municipal de Araguapaz;Guarda Municipal;5
329;Guarda Municipal de Araguari;Guarda Municipal;5
330;Guarda Municipal de Araguatins;Guarda Municipal;5
331;Guarda Municipal de Araguaçu;Guarda Municipal;5
332;Guarda Municipal de Araguaína;Guarda Municipal;5
333;Guarda Municipal de Araioses;Guarda Municipal;5
334;Guarda Municipal de Aral Moreira;Guarda Municipal;5
335;Guarda Municipal de Aramari;Guarda Municipal;5
336;Guarda Municipal de Arambaré;Guarda Municipal;5
337;Guarda Municipal de Arame;Guarda Municipal;5
338;Guarda Municipal de Aramina;Guarda Municipal;5
339;Guarda Municipal de Arandu;Guarda Municipal;5
340;Guarda Municipal de Arantina;Guarda Municipal;5
341;Guarda Municipal de Arapeí;Guarda Municipal;5
342;Guarda Municipal de Arapiraca;Guarda Municipal;5
343;Guarda Municipal de Arapoema;Guarda Municipal;5
344;Guarda Municipal de Araponga;Guarda Municipal;5
345;Guarda Municipal de Arapongas;Guarda Municipal;5
346;Guarda Municipal de Araporã;Guarda Municipal;5
347;Guarda Municipal de Arapoti;Guarda Municipal;5
348;Guarda Municipal de Araputanga;Guarda Municipal;5
349;Guarda Municipal de Arapuá;Guarda Municipal;5
350;Guarda Municipal de Arapuã;Guarda Municipal;5
351;Guarda Municipal de Araquari;Guarda Municipal;5
352;Guarda Municipal de Arara;Guarda Municipal;5
353;Guarda Municipal de Araranguá;Guarda Municipal;5
354;Guarda Municipal de Araraquara;Guarda Municipal;5
355;Guarda Municipal de Araras;Guarda Municipal;5
356;Guarda Municipal de Ararendá;Guarda Municipal;5
357;Guarda Municipal de Arari;Guarda Municipal;5
358;Guarda Municipal de Araricá;Guarda Municipal;5
359;Guarda Municipal de Araripe;Guarda Municipal;5
360;Guarda Municipal de Araripina;Guarda Municipal;5
361;Guarda Municipal de Araruama;Guarda Municipal;5
362;Guarda Municipal de Araruna;Guarda Municipal;5
363;Guarda Municipal de Araruna;Guarda Municipal;5
364;Guarda Municipal de Arataca;Guarda Municipal;5
365;Guarda Municipal de Aratiba;Guarda Municipal;5
366;Guarda Municipal de Aratuba;Guarda Municipal;5
367;Guarda Municipal de Aratuípe;Guarda Municipal;5
368;Guarda Municipal de Araucária;Guarda Municipal;5
369;Guarda Municipal de Arauá;Guarda Municipal;5
370;Guarda Municipal de Araxá;Guarda Municipal;5
371;Guarda Municipal de Araçagi;Guarda Municipal;5
372;Guarda Municipal de Araçariguama;Guarda Municipal;5
